_blockid,C
_collector,C
_collectorid,C
_format,C
_messagecount,S
_messageid,S
_messagetime,S
_raw,P
_receipttime,S
_size,S
_source,C
_sourcecategory,C
_sourcehost,C
_sourceid,C
_sourcename,C
_view,C
abs,T
accum,A
acos,T
asin,T
atan,T
atan2,T
avg,S
backshift,T
base64Decode,O
base64Encode,O
cbrt,T
ceil,T
cidr,O
concat,O
contains,F
cos,T
cosh,T
count,A
decToHex,O
diff,T
eval,O
exp,T
expm1,T
field,F
fields,F
fillmissing,E
filter,F
first,S
format,O
formatDate,O
geo,E
haversine,E
hexToAscii,O
hexToDec,O
histogram_quantile,F
hypot,T
if,F
in,F
ipv4ToNumber,O
isNull,F
isNumeric,F
isPrivateIP,F
isPublicIP,F
isValidIP,F
join,E
length,O
limit,F
log,T
log10,T
log1p,T
lookup,E
luhn,E
matches,F
max,F
median,F
merge,E
min,F
most-recent,S
nodrop,P
now,O
num,T
outlier,F
parse,P
parseDate,P
parseHex,P
pct-sampling,S
percentile,S
predict,E
queryTimeRange,F
regex,P
replace,P
rollingstd,S
round,S
save,E
sessionize,E
sin,T
sinh,T
smooth,S
sort,S
sqrt,T
standard-deviation,E
substring,P
sum,A
tan,T
tanh,T
timeslice,F
toDegrees,O
toLowerCase,O
toRadians,O
top,F
topk,F
total,A
tourl,O
trace,F
transaction,E
transactionize,E
transpose,T
trim,O
urldecode,T
urlencode,T
where,F
